date,price,audusd,price_aud
2025-09-22,3740.699951171875,0.6589308381080627,5676.923487011562
2025-09-23,3780.60009765625,0.660199761390686,5726.448748924959
2025-09-24,3732.10009765625,0.6597799062728882,5656.583448773044
2025-09-25,3736.89990234375,0.6586921215057373,5673.211778822227
2025-09-26,3775.300048828125,0.6537314653396606,5775.001279564514
2025-09-29,3820.89990234375,0.6553998589515686,5829.875991209359
2025-09-30,3840.800048828125,0.6581978797912598,5835.327287967249
2025-10-01,3867.5,0.6610700488090515,5850.363372183449
2025-10-02,3839.699951171875,0.6615498065948486,5804.09806320662
2025-10-03,3880.800048828125,0.6598090529441833,5881.701730995228
2025-10-06,3948.5,0.6593101024627686,5988.835883525648
2025-10-07,3976.60009765625,0.6616500020027161,6010.126329055654
2025-10-08,4043.300048828125,0.6580505967140198,6144.360432189214
2025-10-09,3946.300048828125,0.6584500670433044,5993.317103829208
2025-10-10,3975.89990234375,0.6561291813850403,6059.629742348784
2025-10-13,4108.60009765625,0.6498401165008545,6322.478396346969
2025-10-14,4138.7001953125,0.651159942150116,6355.888818416259
2025-10-15,4176.89990234375,0.6491301655769348,6434.610689570094
2025-10-16,4280.2001953125,0.6508001685142517,6576.827115893362
2025-10-17,4189.89990234375,0.64823979139328,6463.503101743076
2025-10-20,4336.39990234375,0.6501701474189758,6669.638585466048
2025-10-21,4087.699951171875,0.6516313552856445,6273.025258859773
2025-10-22,4044.39990234375,0.6491904854774475,6229.912472252722
2025-10-23,4125.5,0.6489999890327454,6356.70272683448
2025-10-24,4118.39990234375,0.6514798402786255,6321.607588935352
2025-10-27,4001.89990234375,0.653398334980011,6124.747628054757
2025-10-28,3966.199951171875,0.6558598279953003,6047.328684995014
2025-10-29,3983.699951171875,0.6585099697113037,6049.566649565477
2025-10-30,4001.300048828125,0.657680094242096,6083.961007576463
2025-10-31,3982.199951171875,0.6559299826622009,6071.074743388698
2025-11-03,4000.300048828125,0.6545702219009399,6111.338272020438
2025-11-04,3947.699951171875,0.6541078090667725,6035.2435736918205
2025-11-05,3980.300048828125,0.6485601663589478,6137.133076139639
2025-11-06,3979.89990234375,0.6509907841682434,6113.604061889725
2025-11-07,3999.39990234375,0.6483898758888245,6168.202266979109
2025-11-10,4111.7998046875,0.650239884853363,6323.512138316093
2025-11-11,4106.7998046875,0.653488039970398,6284.429941324606
